scenario,scenario_id,D,noise_type,method,n_series,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,mae_mean,mae_ci_low,mae_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high
"D=1, pink",eval_multi_D10_pink,1.0,pink,BuishandQ,50,1.0,1.0,1.0,0.00525452,0.0051488194999999995,0.0053593425,0.010453820000000003,0.0102445395,0.0106625935,0.78,0.4,1.38,0.50127,0.47983505000000004,0.5235462999999999,0.827234,0.81104385,0.8429460999999999
"D=1, pink",eval_multi_D10_pink,1.0,pink,BuishandRange,50,1.0,1.0,1.0,0.00525452,0.005149657500000001,0.005359123,0.010453820000000003,0.010243312000000001,0.010663027499999998,0.78,0.4,1.36,0.50127,0.48026775000000005,0.5237701499999999,0.827234,0.8112974999999999,0.84250415
"D=1, pink",eval_multi_D10_pink,1.0,pink,BuishandU,50,1.0,1.0,1.0,0.00525452,0.005150239500000001,0.0053588425000000005,0.010453820000000003,0.010247656,0.010656902000000001,0.78,0.4,1.38,0.50127,0.4803066999999999,0.5239123499999999,0.827234,0.8116999,0.8426660499999999
"D=1, pink",eval_multi_D10_pink,1.0,pink,Nyblom,50,1.0,1.0,1.0,0.00525452,0.0051478975,0.0053607875,0.010453820000000003,0.0102510185,0.010656740500000003,0.92,0.48,1.58,0.533812,0.510574,0.5571442499999999,0.8372380000000001,0.8211476500000002,0.8526964
"D=1, pink",eval_multi_D10_pink,1.0,pink,Pettitt,50,1.0,1.0,1.0,0.00525452,0.005147238500000001,0.0053612205,0.010453820000000003,0.010247599000000001,0.010658466500000002,0.86,0.46,1.32,,,,,,
"D=1, pink",eval_multi_D10_pink,1.0,pink,SNHT,50,1.0,1.0,1.0,0.00525452,0.0051510984999999995,0.0053594235,0.010453820000000003,0.010245015,0.010658281000000002,0.64,0.44,0.88,,,,,,
"D=1, pink",eval_multi_D10_pink,1.0,pink,Chow,50,0.92,0.84,0.98,0.004848659999999999,0.004397608,0.0052130255,0.00964622,0.008761195,0.010380071,1.0434782608695652,0.4782608695652174,1.8695652173913044,0.565676,0.54237435,0.58951405,0.8380179999999998,0.8182897499999999,0.8563902999999997
"D=1.5, white",eval_multi_D15_white,1.5,white,Transformer_v2,50,0.9643341599999999,0.957451046,0.970980461,0.48351458,0.47076419449999996,0.4963463685000001,0.64287098,0.6313627865000001,0.6545567760000002,3.214296,3.0765533499999997,3.3468232499999995,0.8103920000000001,0.7996035000000001,0.82109405,0.960396,0.9565479499999999,0.96431405
"D=1.5, white",eval_multi_D15_white,1.5,white,LSTM_v2,50,0.95552314,0.9472684045,0.9636739105000001,0.43815892000000006,0.42426446149999997,0.451962325,0.5989380999999999,0.5856246785,0.611735549,3.5864119999999997,3.4600476500000004,3.7151134500000005,0.807406,0.79368785,0.8206060500000001,0.9603619999999999,0.9566799,0.96407005
"D=1.5, white",eval_multi_D15_white,1.5,white,CUSUM,50,0.84502082,0.8320759744999999,0.8580335495,0.46064148000000005,0.44981556149999996,0.47124948400000005,0.59459454,0.5855206595000001,0.6031300925,7.976247999999999,7.747850400000001,8.206969299999999,0.45801400000000003,0.43294399999999994,0.4828784,0.8364539999999999,0.81879765,0.8534640499999999
