scenario,scenario_tag,method,series_seed,margin,n_true,n_pred,precision,recall,f1,mae,roc_auc,pr_auc,time_s
"D=1, white",D10_white,SWAB,1028,100,45,14,1.0,0.311111,0.474576,28.4286,,,0.0136
"D=1, white",D10_white,SWAB,1029,25,29,13,0.461538,0.206897,0.285714,14.0,,,0.0116
"D=1, white",D10_white,SWAB,1029,50,29,13,0.538462,0.241379,0.333333,17.1429,,,0.0116
"D=1, white",D10_white,SWAB,1029,100,29,13,0.846154,0.37931,0.52381,36.2727,,,0.0116
"D=1, white",D10_white,SWAB,1030,25,47,13,0.692308,0.191489,0.3,14.4444,,,0.0246
"D=1, white",D10_white,SWAB,1030,50,47,13,0.923077,0.255319,0.4,21.0,,,0.0246
"D=1, white",D10_white,SWAB,1030,100,47,13,1.0,0.276596,0.433333,23.7692,,,0.0246
"D=1, white",D10_white,SWAB,1031,25,45,13,0.615385,0.177778,0.275862,8.125,,,0.0196
"D=1, white",D10_white,SWAB,1031,50,45,13,0.846154,0.244444,0.37931,15.9091,,,0.0196
"D=1, white",D10_white,SWAB,1031,100,45,13,0.923077,0.266667,0.413793,21.9167,,,0.0196
"D=1, white",D10_white,SWAB,1032,25,39,11,0.363636,0.102564,0.16,11.25,,,0.0131
"D=1, white",D10_white,SWAB,1032,50,39,11,0.909091,0.25641,0.4,26.3,,,0.0131
"D=1, white",D10_white,SWAB,1032,100,39,11,1.0,0.282051,0.44,28.9091,,,0.0131
"D=1, white",D10_white,SWAB,1033,25,39,14,0.571429,0.205128,0.301887,12.625,,,0.0191
"D=1, white",D10_white,SWAB,1033,50,39,14,0.785714,0.282051,0.415094,19.0,,,0.0191
"D=1, white",D10_white,SWAB,1033,100,39,14,1.0,0.358974,0.528302,29.0714,,,0.0191
"D=1, white",D10_white,SWAB,1034,25,47,15,0.666667,0.212766,0.322581,9.0,,,0.0216
"D=1, white",D10_white,SWAB,1034,50,47,15,0.866667,0.276596,0.419355,14.8462,,,0.0216
"D=1, white",D10_white,SWAB,1034,100,47,15,0.933333,0.297872,0.451613,20.7857,,,0.0216
"D=1, white",D10_white,SWAB,1035,25,39,13,0.692308,0.230769,0.346154,9.7778,,,0.0145
"D=1, white",D10_white,SWAB,1035,50,39,13,0.846154,0.282051,0.423077,14.2727,,,0.0145
"D=1, white",D10_white,SWAB,1035,100,39,13,1.0,0.333333,0.5,24.0,,,0.0145
"D=1, white",D10_white,SWAB,1036,25,33,14,0.428571,0.181818,0.255319,5.6667,,,0.0145
"D=1, white",D10_white,SWAB,1036,50,33,14,0.714286,0.30303,0.425532,16.9,,,0.0145
"D=1, white",D10_white,SWAB,1036,100,33,14,0.857143,0.363636,0.510638,28.5,,,0.0145
"D=1, white",D10_white,SWAB,1037,25,43,13,0.846154,0.255814,0.392857,12.3636,,,0.0161
"D=1, white",D10_white,SWAB,1037,50,43,13,0.846154,0.255814,0.392857,12.3636,,,0.0161
